"id","owner","blocks","price","state","desc"
1,0,"-54,-51",3000,0,"城市森林生活区"
2,0,"-54,-50",3000,0,"城市森林生活区"
3,0,"-53,-51",3000,0,"城市森林生活区"
4,0,"-53,-50",3000,0,"城市森林生活区"
5,0,"-54,-52",3000,0,"城市森林生活区"
6,0,"-53,-52",3000,0,"城市森林生活区"
7,0,"-52,-52",3000,0,"城市森林生活区"
8,0,"-52,-51",3000,0,"城市森林生活区"
9,0,"-52,-50",3000,0,"城市森林生活区"
10,0,"-51,-52",3000,0,"城市森林生活区"
11,0,"-51,-51",3000,0,"城市森林生活区"
12,0,"-51,-50",3000,0,"城市森林生活区"
13,0,"-54,-53",3000,0,"城市森林生活区"
14,0,"-53,-53",3000,0,"城市森林生活区"
15,0,"-52,-53",3000,0,"城市森林生活区"
16,0,"-51,-53",3000,0,"城市森林生活区"
17,0,"-50,-53",3000,0,"城市森林生活区"
18,0,"-50,-52",3000,0,"城市森林生活区"
19,0,"-50,-51",3000,0,"城市森林生活区"
20,0,"-50,-50",3000,0,"城市森林生活区"
21,0,"-54,-54",3000,0,"城市森林生活区"
22,0,"-53,-54",3000,0,"城市森林生活区"
23,0,"-52,-54",3000,0,"城市森林生活区"
24,0,"-51,-54",3000,0,"城市森林生活区"
25,0,"-50,-54",3000,0,"城市森林生活区"
26,0,"-49,-54",3000,0,"城市森林生活区"
27,0,"-49,-53",3000,0,"城市森林生活区"
28,0,"-49,-52",3000,0,"城市森林生活区"
29,0,"-49,-51",3000,0,"城市森林生活区"
30,0,"-49,-50",3000,0,"城市森林生活区"
31,0,"-48,-54",3000,0,"城市森林生活区"
32,0,"-48,-53",3000,0,"城市森林生活区"
33,0,"-48,-52",3000,0,"城市森林生活区"
34,0,"-48,-51",3000,0,"城市森林生活区"
35,0,"-48,-50",3000,0,"城市森林生活区"
36,0,"-54,-55",3000,0,"城市森林生活区"
37,0,"-53,-55",3000,0,"城市森林生活区"
38,0,"-52,-55",3000,0,"城市森林生活区"
39,0,"-51,-55",3000,0,"城市森林生活区"
40,0,"-50,-55",3000,0,"城市森林生活区"
41,0,"-49,-55",3000,0,"城市森林生活区"
42,0,"-48,-55",3000,0,"城市森林生活区"
43,0,"-47,-55",3000,0,"城市森林生活区"
44,0,"-47,-54",3000,0,"城市森林生活区"
45,0,"-47,-53",3000,0,"城市森林生活区"
46,0,"-47,-52",3000,0,"城市森林生活区"
47,0,"-47,-51",3000,0,"城市森林生活区"
48,0,"-47,-50",3000,0,"城市森林生活区"
49,0,"-46,-55",3000,0,"城市森林生活区"
50,0,"-46,-54",3000,0,"城市森林生活区"
